Date,Close,Open,High,Low,Volume,SMA_20,SMA_50,Signal_SMA,ADXP,ADXM,ADX,APO,MFI,Signal_MFI,SAR,RSI,Signal_RSI,UltimateOScillator,Signal_UO,upper,middle,lower,Signal_BB,WMA,Signal_WMA,EMA,Signal_EMA,DEMA,Signal_DEMA,STOCH,Signal_STOCH,Close_1,crecimiento,precios_lead1,target
2023-05-26,175.43,173.32,175.77,173.11,54834975,172.15725000000003,,1,7.994343635446933,5.349578581653183,29.166605313212305,2.5464743589743364,53.9077159050865,1,170.33315543444576,63.31217473284146,0,56.16093411989248,0,176.1510598802415,171.65640592832708,167.16175197641266,0,171.8696559139785,-1,170.1905107526882,-1,,0,0.9801387940549686,-1,177.3,1.002051987120365,0.9999455279628372,1
2023-05-30,177.3,176.96,178.99,176.57,55964401,172.54275,,1,10.41490927190224,4.814620723487865,29.56566166250737,2.3700000000000045,61.004627900236954,1,170.81770299969008,66.90915560957619,0,52.899294223578906,0,176.983177867031,172.1938910780102,167.40460428898942,-1,172.32966666666667,-1,170.6491874783212,-1,,0,0.779821624920488,-1,177.25,0.9999455279628372,1.0030700864773578,0
2023-05-31,177.25,177.325,179.35,176.76,99625288,172.97825000000003,,1,9.733418344712,4.333158651139079,30.025245684189137,2.301538461538513,63.48331636911533,1,171.63493269972108,66.7207948415876,0,50.50906763901487,0,177.50417585799985,172.67542526105686,167.84667466411386,0,172.76049462365592,-1,171.0750463506876,-1,,0,0.8291425722507635,-1,180.09,1.0030700864773578,1.0009173127512745,1
2023-06-01,180.09,177.7,180.12,176.9306,68901809,173.61025000000004,,1,9.53007651024081,3.8998427860251708,30.644683206968683,2.3421794871795214,64.48876773362429,1,172.56074077575454,71.60966438935792,-1,56.97038735096185,0,178.40802526056393,173.3815752361943,168.35512521182466,-1,173.35136559139784,-1,171.65665626354644,-1,,0,0.915542166121265,-1,180.95,1.0009173127512745,0.9985379691854998,1
2023-06-02,180.95,181.03,181.78,179.26,61996913,174.36825000000005,,1,10.237068859216727,3.5098585074226536,31.610170566565273,2.421025641025693,70.97736093903154,1,173.6190370671489,72.90758468330448,-1,62.27999024693974,0,178.81656288242695,174.10237759465198,169.38819230687702,-1,173.97092473118278,-1,172.2562268271886,-1,,0,0.9496667759108943,-1,179.58,0.9985379691854998,0.9996026508927595,0
2023-06-05,179.58,182.63,184.951,178.035,121946497,174.66875000000002,,1,12.384361973295047,3.1588726566803884,33.12471423373033,2.565576923076975,78.04556972555739,1,174.92479113640508,67.60527737443206,0,53.207977012784205,0,179.745387971036,174.62405591897084,169.50272386690568,0,174.47134408602147,-1,172.7287283222087,-1,,0,1.0188948166129321,1,179.21,0.9996026508927595,0.9984992941375507,0
2023-06-06,179.21,179.965,180.12,177.43,64848374,174.95425000000003,,1,11.145925775965543,3.4479853910123395,34.194282786182725,2.545705128205185,71.36360898453222,1,176.72950873185215,66.20489029744246,0,54.43897246805995,0,180.45373181213398,175.06081249811646,169.66789318409894,0,174.91658064516128,-1,173.1468748820662,-1,,0,1.1415910974459953,1,177.82,0.9984992941375507,1.0029622442599806,0
2023-06-07,177.82,178.44,181.21,177.32,61944615,175.25675000000004,,1,11.121333198368992,3.1031868519111057,35.396857171137974,2.450833333333378,70.87161504570902,-1,184.951,61.08566154391302,0,46.32089771878851,0,180.65978346999412,175.3235922602006,169.98740105040707,0,175.24229032258063,-1,173.4483668251587,-1,,0,1.2362737711040246,1,180.57,1.0029622442599806,1.0004152134201931,1
2023-06-08,180.57,177.895,180.84,177.46,50214881,175.60750000000004,,1,10.009199878532094,2.792868166719995,36.51353338573927,2.5189743589744182,70.430168991114,-1,184.79837999999998,66.58987365047054,0,49.61080757579918,0,181.49604052498987,175.8232501401815,170.15045975537313,0,175.7152043010753,-1,173.90782702998717,-1,,0,1.053304565746934,1,180.96,1.0004152134201931,1.0029851799082334,1
2023-06-09,180.96,181.5,182.23,180.63,48899973,175.96800000000005,,1,10.398279890678872,2.5135813500479953,37.82012521956728,2.7826923076923435,70.25514926431788,-1,184.64881239999997,67.29635112180239,0,50.40525149095417,0,182.2992590006339,176.31246441254515,170.3256698244564,0,176.17712903225808,-1,174.36280593127833,-1,,0,0.947533458648049,-1,183.79,1.0029851799082334,0.9994984280457411,1
2023-06-12,183.79,181.27,183.89,180.97,54754995,176.52900000000005,,1,11.01845190161098,2.262223215043196,39.32460777259678,3.08621794871803,75.46192824753913,-1,184.50223615199997,71.93408584604451,-1,51.22085664221834,0,183.57161400095487,177.02461065896944,170.477607316984,-1,176.79464516129033,-1,174.97101200022811,-1,,0,0.8652198795388341,-1,183.31,0.9994984280457411,1.0006688070040028,0
2023-06-13,183.31,182.8,184.15,182.44,54929129,177.09100000000004,,1,10.176606711449901,2.0360008935388763,40.7656473535397,3.5716025641026192,81.09252169366957,-1,184.35859142895995,70.11782747491543,-1,51.330219924952935,0,184.4105604409208,177.623219167639,170.83587789435722,0,177.35084946236563,-1,175.50901122601985,-1,,0,0.8954337899543383,-1,183.95,1.0006688070040028,1.0021356034056033,1
2023-06-14,183.95,183.37,184.39,182.02,57462882,177.685,,1,9.158946040304912,2.252400804184976,41.81424248569179,3.8796794871795726,86.1473022954317,1,177.32,71.1632982700405,-1,59.54162261801964,0,185.18724616133255,178.22576972310196,171.26429328487137,0,177.91883870967746,-1,176.0535911469218,-1,,0,0.9277241851693674,-1,186.01,1.0021356034056033,0.9988753614568449,1
2023-06-15,186.01,183.96,186.52,183.78,65433166,178.35100000000003,,1,10.373051436274444,2.0271607237664786,43.17579230326343,4.057820512820598,86.35103790421039,1,177.4614,74.28222427255827,-1,60.82185329325503,0,186.3299125004618,178.96712498756844,171.60433747467508,0,178.58659139784953,-1,176.69594010518492,-1,,0,0.9656283774195665,-1,184.92,0.9988753614568449,1.0000932156515725,0
2023-06-16,184.92,186.73,186.99,184.27,101256225,178.8445,,1,9.805746292647,1.8244446513898307,44.518744174270395,4.259871794871884,76.35988044228088,1,177.823744,69.96986923779752,0,62.31583366012517,0,187.1921918017201,179.53406546494287,171.87593912816564,0,179.1441075268818,-1,177.22652461452782,-1,,0,1.015807722807392,1,185.01,1.0000932156515725,0.9989097532314214,1
2023-06-20,185.01,184.41,186.1,184.41,49799092,179.33700000000005,,1,8.8251716633823,1.6420001862508475,45.765770911634,4.236794871794956,70.98157593344911,1,178.37371936,70.12409303880555,-1,57.36200674840008,0,187.91814931542447,180.05558303971023,172.19301676399598,0,179.66629032258072,-1,177.72868431681636,-1,,0,1.0416472331076325,1,183.96,0.9989097532314214,1.0031430794734861,0
2023-06-21,183.96,184.9,185.41,182.5901,49515697,179.82500000000005,,1,7.942654497044069,3.2977001676257527,45.62544704626476,4.04955128205134,63.990432608407374,1,178.8906961984,65.87362076555524,0,58.70127308251255,0,188.18859624600546,180.42743227402354,172.66626830204163,0,180.09612903225815,-1,178.13070468347337,-1,,0,1.0931280130609409,1,187.0,1.0031430794734861,0.9996725941098883,1
2023-06-22,187.0,183.74,187.045,183.67,51245327,180.59700000000004,,1,8.783389047339654,2.9679301508631775,45.888273989191795,4.093653846153899,63.37045824504084,1,179.376654426496,71.29801064683252,-1,59.722416431698846,0,188.50847546676468,181.05339110506893,173.59830674337317,0,180.69960215053774,-1,178.7029172845396,-1,,0,0.9833535689681464,-1,186.68,0.9996725941098883,0.9985501766104325,0
2023-06-23,186.68,185.55,187.56,185.01,53116996,181.33900000000003,,1,8.420050142605703,2.67113713577686,46.24875434338676,4.154230769230793,63.07664710960951,1,179.99012207237632,70.03605686554289,-1,60.61781067362444,0,188.4715507922708,181.5892586188719,174.706966445473,0,181.24967741935492,-1,179.21756778231125,-1,,0,0.9476973750090226,-1,185.27,0.9985501766104325,1.0028623845383378,0
2023-06-26,185.27,186.83,188.05,185.23,48088661,181.95300000000003,174.67870000000002,-1,8.068045128345142,2.404023422199174,46.69526402975479,4.291217948717957,53.8089669616673,1,180.7471098651387,64.60959363999685,0,54.31319577040304,0,188.05171886868965,181.93980541707458,175.82789196545951,0,181.68055913978503,-1,179.60804728022666,-1,,0,0.9758699467496108,-1,188.06,1.0028623845383378,1.0012045291727718,1
2023-06-27,188.06,185.89,188.39,185.67,50730846,182.58450000000005,175.13570000000004,-1,7.601240615510603,2.1636210799792566,47.188860185980374,4.4150000000000205,61.05739281853745,1,181.62345668132207,69.62475331799072,0,56.25164222167861,0,188.45667116493652,182.5226810916389,176.58869101834128,0,182.26666666666677,-1,180.15333455247008,-1,,0,1.0010465324285684,1,189.25,1.0012045291727718,1.0003423478755007,1
2023-06-28,189.25,187.93,189.9,187.6,51216801,183.18200000000004,175.61610000000005,-1,8.351116553959562,1.947258971981331,47.97918996154484,4.563910256410253,68.3039335888092,1,182.57077274593698,71.48110137057898,-1,61.5711005963514,0,189.22382496554164,183.16337813053045,177.10293129551926,-1,182.89623655913988,-1,180.74021619424622,-1,,0,0.99471070723198,-1,189.59,1.0003423478755007,1.004354672073038,1
2023-06-29,189.59,189.08,190.07,188.94,46347308,183.79900000000004,176.07850000000005,-1,7.686004898563593,1.7525330747831978,48.74885201836173,4.455320512820521,68.252501770088,1,183.74344910658706,72.00747997672835,-1,61.78722207645296,0,189.81258449370858,183.7754373561942,177.73829021867982,0,183.5107956989248,-1,181.3111699881658,-1,,0,0.9476629729695448,-1,193.97,1.004354672073038,0.9985163994157643,1
2023-06-30,193.97,191.63,194.48,191.26,85213216,184.49300000000002,176.60530000000006,-1,11.327404408707231,1.577279767304878,50.203246545725044,4.481730769230779,69.83327981158524,1,184.8822282674014,77.71406420812679,-1,68.52999945096137,0,191.77605929019344,184.7463480841757,177.71663687815797,-1,184.3702580645162,-1,182.1278686986067,-1,,0,0.9775737483587836,-1,192.46,0.9985163994157643,0.9988804602587013,0
2023-07-03,192.46,193.78,193.88,191.76,31458198,185.06850000000003,177.12150000000005,-1,10.194663967836508,1.4195517905743902,51.55375574970526,4.397820512820516,64.95570459355974,1,186.80178261392112,72.24597710740547,-1,61.79351901846165,0,193.00380219533187,185.4809815999685,177.9581610046051,0,185.0865376344087,-1,182.79445781482562,-1,,0,1.0276042142471353,1,191.33,0.9988804602587013,1.0004768962669357,0
2023-07-05,191.33,191.565,192.98,190.62,46920261,185.65600000000003,177.64770000000004,-1,9.175197571052857,2.4175966115169376,51.9621900522073,4.1357692307692275,58.610023754422926,1,188.3374260911369,68.36910160596548,0,58.93844641424091,0,193.5842836149323,186.03803097140005,178.4917783278678,0,185.69247311827965,-1,183.3451379558046,-1,,0,1.0672328239313293,1,191.81,1.0004768962669357,0.9988759321904622,1
2023-07-06,191.81,189.84,192.02,189.2,45156009,186.28600000000003,178.17730000000003,-1,8.257677813947572,3.5958369503652596,51.377091489833255,4.079935897435888,52.14708497153783,-1,194.48,69.12697191102248,0,67.18012692725615,0,194.00825054881204,186.58774230745718,179.1672340661023,0,186.29460215053774,-1,183.8912580876882,-1,,0,1.0812793453726262,1,190.68,0.9988759321904622,0.9979211430543949,0
2023-07-07,190.68,191.41,192.67,190.24,46814998,186.92900000000003,178.71550000000002,-1,8.081910032552791,3.2362532553287338,50.996850039461705,4.0378205128205025,51.078616351066664,-1,194.37439999999998,65.16836757911845,0,59.93217825848113,0,193.70363075899016,186.97748113531838,180.2513315116466,0,186.7859569892474,-1,184.32924143686958,-1,,0,1.0759212777359597,1,188.61,0.9979211430543949,0.9994629469577931,0
2023-07-10,188.61,189.26,189.99,187.035,59922163,187.33100000000002,179.21250000000003,-1,7.273719029297512,6.117627929795873,48.793551273011204,3.98839743589744,53.90501347308445,-1,194.27091199999998,58.55346095532143,0,57.340072211113736,0,193.34781956817235,187.13295912243092,180.91809867668948,0,187.1026451612904,-1,184.60541940868444,-1,192.1977220871219,1,1.1085980063398686,1,188.08,0.9994629469577931,1.0017081601735505,0
2023-07-11,188.08,189.16,189.3,186.6,46638119,187.687,179.60590000000005,-1,6.546347126367761,5.940865136816288,46.53077694606008,3.7710897435897266,54.08672911849038,-1,193.98147551999998,56.95926586837238,0,57.39689098703443,0,192.85602363402774,187.22315349172322,181.5902833494187,0,187.34907526881727,-1,184.82958589844674,-1,192.14176673321424,-1,1.1755830685247628,1,189.77,1.0017081601735505,1.0007719173095628,1
2023-07-12,189.77,189.68,191.7,188.47,60750248,187.98600000000002,180.00770000000003,-1,8.291712413730963,5.346778623134659,45.202447688030894,3.6893589743589814,61.54849552214636,-1,193.53858698879998,60.63926420873516,0,51.69613343440809,0,192.9138509169658,187.4657103020353,182.01756968710478,0,187.67208602150544,-1,185.14832229209534,-1,192.28692227996848,-1,1.1187583945450172,1,190.54,1.0007719173095628,1.0001498947107517,1
2023-07-13,190.54,190.5,191.19,189.78,41342338,188.34750000000003,180.42670000000007,-1,7.4625411723578665,4.812100760821193,43.96899909128951,3.7069871794871574,61.07966327244765,-1,193.12227176947198,62.22405519206,0,51.71213832487109,0,192.932802837106,187.75849979707954,182.58419675705306,0,188.01393548387102,-1,185.49617246679887,-1,192.49962584469316,-1,0.9918875080706832,-1,190.69,1.0001498947107517,1.003267698575631,1
2023-07-14,190.69,190.23,191.1799,189.63,41616242,188.6845,180.86970000000005,-1,6.71628705512208,4.480890684739079,42.73800029782389,3.484615384615381,54.562063975381,-1,192.73093546330367,62.54046965658506,0,53.996768344979444,0,192.95313889776355,188.03769029259578,183.12224168742802,0,188.3369892473119,-1,185.83125811410216,-1,192.69634300864183,-1,0.9358205637403401,-1,193.99,1.003267698575631,0.9997454017690641,1
2023-07-17,193.99,191.9,194.32,191.81,50520159,189.08350000000002,181.40050000000002,-1,9.184758349609861,4.032801616265171,42.507858409198334,3.257692307692338,61.507766826176,1,186.6,68.74331882065994,0,57.58424066389496,0,193.8052572051709,188.6045769313962,183.4038966576215,-1,188.84404301075276,-1,186.35762855835364,-1,193.27221581077117,-1,0.8601718165466156,-1,193.73,0.9997454017690641,1.0013380531239362,0
2023-07-18,193.73,193.35,194.33,192.415,48353774,189.524,181.9593,-1,8.276282514648894,3.6295214546386543,42.29673845123329,3.096538461538472,61.46483586084018,1,186.7544,67.79086450015365,0,60.595530149375385,0,194.29922109613804,189.0927124617394,183.88620382734078,0,189.3044301075269,-1,186.83326542555662,-1,193.74670089229838,-1,0.8603749401407073,-1,195.1,1.0013380531239362,0.9980755310942682,1
2023-07-19,195.1,193.1,198.23,192.65,80507323,190.0285,182.3899,-1,11.348654263183981,3.266569309174789,42.96735924416132,2.64685897435902,63.128285603593135,1,187.057424,70.13863288507697,-1,59.081468777724034,0,194.95813372611525,189.6648350844309,184.37153644274656,-1,189.82572043010754,-1,187.36660314003683,-1,194.33293934182512,-1,0.9222154355807565,-1,193.13,0.9980755310942682,0.9988257102038947,0
2023-07-20,193.13,195.09,196.47,192.495,59581196,190.48700000000002,182.7825,-1,10.213788836865582,3.094912378257311,43.497789753175766,2.3434615384615824,55.75555872174463,1,187.72777856,63.024588906616444,0,53.22873645902092,0,194.7834093671203,189.99485079067557,185.20629221423084,0,190.1865376344086,-1,187.73843519551832,-1,194.60317324264167,-1,1.0948503166035484,1,191.94,0.9988257102038947,1.0008010353445163,0
2023-07-21,191.94,194.1,194.97,191.23,71951683,190.734,183.1859,-1,9.192409953179023,4.050421140431595,43.24212220245538,2.062371794871865,45.053782606013776,1,188.3579118464,59.12350880421345,0,48.245701291635115,0,194.77410511635804,190.18010309632552,185.586101076293,0,190.44064516129032,-1,188.00950389258165,-1,194.68493600811112,-1,1.2425024221534644,1,192.75,1.0008010353445163,1.0008559448005292,1
2023-07-24,192.75,193.41,194.91,192.25,45505097,191.03750000000002,183.5698,-1,8.27316895786112,3.6453790263884356,43.00471661964359,1.8022435897436537,50.341626852539754,1,188.950237135616,60.89769793206157,0,46.027583933602834,0,194.76102445376574,190.42485518238976,186.08868591101378,0,190.7166451612903,-1,188.31534235112477,-1,194.84620837203138,-1,1.1828169396290265,1,193.62,1.0008559448005292,1.0008611424335268,1
2023-07-25,193.62,193.33,194.44,192.915,37283201,191.455,183.96720000000002,-1,7.445852062075009,3.280841123749592,42.78426857846121,1.7545512820513522,56.0834855771207,1,189.50702290747904,62.766974447738136,0,45.739300686743725,0,194.46134736874728,190.72915468882883,186.99696200891037,0,191.0225806451613,-1,188.65757832847157,-1,195.0872543913538,-1,1.0246713488204577,1,194.5,1.0008611424335268,0.9987472133660276,1
2023-07-26,194.5,193.67,195.64,193.32,47471868,191.77700000000002,184.40580000000003,-1,7.9012668558674966,2.952757011374633,42.906714799945405,1.8769230769231626,62.3503986127717,1,190.0304015330303,64.6098730752344,0,40.769197563568014,0,194.7253390464315,191.08828281370228,187.45122658097307,0,191.35806451612902,-1,189.03450875889277,-1,195.40197934940244,-1,0.9112482202183203,-1,193.22,0.9987472133660276,1.0025489997353239,0
2023-07-27,193.22,196.02,197.2,192.55,47460180,191.9755,184.8288,-1,8.671140170280749,2.6574813102371695,43.40270813469298,1.9894871794872415,55.93486310807763,1,190.5223774410485,59.960937641102575,0,36.08556982674914,0,194.81314264691596,191.29130349811157,187.76946434930719,0,191.58793548387098,-1,189.30454045186744,-1,195.51381678157858,-1,0.9458372021046121,-1,195.83,1.0025489997353239,1.0005989884714703,1
2023-07-28,195.83,194.67,196.626,194.14,48291443,192.2875,185.304,-1,7.804026153252674,2.3917331792134524,43.86327337410143,2.0379487179487796,63.40462710335342,1,190.98483479458557,65.42409167713059,0,39.129042938108654,0,195.40770731222224,191.72356030781523,188.03941330340822,-1,191.9648817204301,-1,189.72553784206954,-1,195.92805196714968,-1,0.9313684210526318,-1,196.45,1.0005989884714703,0.9991836565654861,1
2023-07-31,196.45,196.06,196.49,195.26,38824113,192.4115,185.77920000000003,-1,7.023623537927406,2.152559861292107,44.29094109640929,2.166987179487222,69.40165157725944,1,191.41954470691044,66.59027885893764,0,43.69753153826405,0,196.1575910080496,192.17369742135665,188.1898038346637,-1,192.35627956989248,-1,190.1593741103231,-1,196.36757286537724,-1,0.9286522932614266,-1,195.605,0.9991836565654861,0.9970459855287316,0
2023-08-01,195.605,196.235,196.73,195.28,35281426,192.56875,186.19030000000004,-1,6.561261184134646,1.9373038751628964,44.753227676824835,2.233301282051343,63.21099285865201,1,191.8281720244958,63.44925734170318,0,45.10409390120835,0,196.67697678642813,192.5004881431322,188.32399949983628,0,192.67070967741932,-1,190.51070481288292,-1,196.64703882161854,1,0.9437062196887321,-1,192.58,0.9970459855287316,0.9986030698613357,0
2023-08-02,192.58,195.04,195.18,191.8507,50389327,192.63125,186.53870000000003,-1,5.905135065721182,5.172873487646619,42.82721198494757,1.8346474358975229,56.57405672384586,-1,198.23,53.68638533718847,0,42.55831757281282,0,196.65315809273588,192.50806070092915,188.36296330912242,0,192.76699999999997,1,190.6442077281808,-1,196.50953904421212,1,1.1393539887294184,1,191.17,0.9986030698613357,0.9906320547760203,0
2023-08-03,191.17,191.57,192.37,190.69,62243282,192.59925,186.87810000000002,-1,5.314621559149064,5.8162861388819485,40.417555974156606,1.5016987179488126,54.96744746375486,-1,198.10241399999998,49.83708249899549,0,40.46900258169913,0,196.55377434817828,192.3806263484597,188.20747834874115,0,192.75604301075265,1,190.67812981023363,1,196.19678621489302,1,1.5927146781319266,1,181.99,0.9906320547760203,0.9966555656787133,0
2023-08-04,181.99,185.52,187.38,181.92,115956841,192.16475,187.0867,-1,4.783159403234158,14.004657524993764,39.805690829094296,0.688429487179576,44.36058226878322,-1,197.80591743999997,33.16458311357561,0,28.247098144543486,1,197.25967607915615,191.39104288670165,185.52240969424716,1,192.13732258064513,1,190.1176053063476,1,194.75585772965172,1,2.731581936924871,1,178.85,0.9966555656787133,1.0010214225103546,0
2023-08-07,178.85,182.13,183.13,177.35,97576069,191.67675,187.22690000000003,-1,4.304843462910742,17.174191772494382,40.08439669252936,-0.0884935897435355,36.247997834032745,-1,196.8527623936,29.52605918171507,1,28.523501122399914,1,197.96466742939657,190.19665784987293,182.4286482703493,1,191.32679569892468,1,189.39066302851873,1,193.04963058396334,1,3.9397228466346252,1,179.8,1.0010214225103546,0.9982675281933936,1
